Id,Predicted
1,5760
2,7120
3,6492
4,9432
5,8297
6,5489
7,8178
8,9847
9,476
10,6812
11,8868
12,1624
13,8619
14,4066
15,518
16,9746
17,5022
18,9258
19,7806
20,4149
21,7487
22,2375
23,7886
24,8704
25,7805
26,3117
27,4961
28,8739
29,3929
30,9185
31,1591
32,5403
33,9545
34,8757
35,7487
36,151
37,4749
38,510
39,3968
40,3989
41,6128
42,1477
43,5583
44,2989
45,9692
46,8863
47,2021
48,180
49,4122
50,8329
51,7951
52,1420
53,440
54,6125
55,6723
56,1720
57,6455
58,312
59,4375
60,5559
61,9135
62,5863
63,1968
64,7075
65,8722
66,6844
67,7613
68,6625
69,1509
70,7505
71,9493
72,1811
73,9184
74,5864
75,5685
76,4106
77,3624
78,5801
79,6042
80,626
81,4925
82,811
83,7189
84,152
85,4575
86,7022
87,7661
88,6354
89,6644
90,6236
91,9956
92,2470
93,4116
94,339
95,1350
96,1769
97,9353
98,1731
99,3220
100,2433
101,1709
102,6372
103,3574
104,8720
105,1602
106,2419
107,450
108,5396
109,7505
110,5494
111,1322
112,3187
113,5588
114,5590
115,1175
116,7185
117,9667
118,2470
119,9618
120,7672
121,5328
122,9638
123,8704
124,7609
125,3759
126,2443
127,9068
128,3912
129,8636
130,7487
131,8645
132,1234
133,9890
134,4603
135,1890
136,5387
137,1171
138,2470
139,2671
140,8654
141,4027
142,8677
143,5695
144,256
145,4437
146,5807
147,1491
148,6526
149,1807
150,3605
151,6607
152,1843
153,3217
154,8518
155,1204
156,2264
157,3533
158,3066
159,7765
160,65
161,9607
162,5756
163,8168
164,6023
165,391
166,7487
167,1471
168,1848
169,9766
170,3505
171,8249
172,5231
173,5363
174,7769
175,4267
176,977
177,771
178,1411
179,7069
180,8655
181,5642
182,4433
183,1256
184,7511
185,8897
186,7502
187,3706
188,9243
189,9397
190,3857
191,4438
192,2205
193,2539
194,7487
195,2876
196,7216
197,4335
198,7438
199,9148
200,2990
201,9260
202,8839
203,9073
204,5949
205,3768
206,7706
207,9144
208,9261
209,7410
210,1613
211,4136
212,2857
213,8019
214,8074
215,6816
216,8350
217,7610
218,4396
219,7239
220,5359
221,3600
222,6829
223,9493
224,7417
225,5246
226,5483
227,1935
228,5993
229,7991
230,2129
231,8639
232,9461
233,3804
234,2030
235,3413
236,1788
237,2387
238,6913
239,1075
240,6028
241,2809
242,8825
243,5837
244,5328
245,1281
246,4160
247,2529
248,3720
249,7743
250,4175
251,9716
252,6225
253,2444
254,2341
255,804
256,699
257,3233
258,2857
259,2961
260,8979
261,4974
262,6143
263,5952
264,5642
265,1052
266,9902
267,4816
268,2172
269,9432
270,3747
271,6183
272,3706
273,9048
274,9325
275,8077
276,8414
277,2835
278,3603
279,6703
280,4090
281,1992
282,8421
283,7748
284,4266
285,859
286,7348
287,4123
288,4099
289,5677
290,933
291,1184
292,6428
293,5100
294,2885
295,7589
296,2369
297,8285
298,8616
299,886
300,5114
301,5376
302,4991
303,319
304,6225
305,7957
306,6001
307,5494
308,1896
309,4641
310,6844
311,6006
312,5168
313,5588
314,5641
315,1291
316,1326
317,8179
318,5588
319,5061
320,3854
321,4977
322,5186
323,5646
324,1416
325,5710
326,5823
327,5295
328,7487
329,9201
330,4427
331,1322
332,8878
333,7254
334,7894
335,1062
336,3225
337,9063
338,8931
339,3821
340,2924
341,2986
342,5136
343,2843
344,4539
345,2374
346,3192
347,1506
348,5192
349,7775
350,6489
351,9568
352,5965
353,476
354,4952
355,4846
356,3025
357,3493
