Id,Predicted
1,288
2,1045
3,8043
4,8894
5,8297
6,7209
7,8669
8,273
9,476
10,8639
11,9178
12,5857
13,1071
14,6035
15,1045
16,1045
17,849
18,1698
19,2583
20,1045
21,1045
22,1045
23,7022
24,8704
25,4367
26,1045
27,3783
28,8739
29,5807
30,7578
31,3783
32,9377
33,1045
34,2946
35,9287
36,151
37,1045
38,510
39,1504
40,8757
41,2511
42,3833
43,2220
44,9775
45,7887
46,1045
47,9189
48,1665
49,7024
50,8329
51,9189
52,1420
53,3085
54,9189
55,1045
56,1045
57,6455
58,1045
59,8663
60,5028
61,3893
62,4649
63,4219
64,1045
65,8933
66,318
67,768
68,8439
69,1509
70,2136
71,1663
72,3086
73,6898
74,1045
75,348
76,9468
77,1045
78,1045
79,6930
80,1119
81,4925
82,735
83,8479
84,1045
85,5519
86,1144
87,1973
88,5193
89,4699
90,3783
91,5260
92,7226
93,5282
94,178
95,2244
96,1769
97,9353
98,2928
99,9568
100,5852
101,7565
102,4219
103,1045
104,5004
105,7679
106,384
107,450
108,5396
109,7505
110,7248
111,3098
112,4235
113,5588
114,3390
115,3424
116,6543
117,8863
118,8429
119,3468
120,1045
121,648
122,9421
123,8704
124,5684
125,6082
126,1045
127,7609
128,3912
129,2981
130,1045
131,727
132,6944
133,8132
134,5923
135,149
136,1045
137,828
138,5614
139,3783
140,8654
141,4027
142,6450
143,1628
144,9704
145,1045
146,5885
147,3071
148,8523
149,6768
150,8595
151,5718
152,6209
153,3790
154,3783
155,4033
156,5282
157,5282
158,1045
159,5519
160,4641
161,9189
162,3783
163,830
164,1045
165,2102
166,1045
167,5282
168,2507
169,9186
170,1045
171,13
172,1045
173,1524
174,9148
175,1045
176,887
177,1045
178,3783
179,425
180,2676
181,9332
182,7305
183,9189
184,9189
185,8897
186,2231
187,1045
188,7936
189,8994
190,1045
191,2780
192,852
193,9228
194,4219
195,5029
196,5337
197,1239
198,7448
199,3783
200,3783
201,2959
202,4841
203,2804
204,9623
205,3768
206,9556
207,1045
208,6615
209,7226
210,1613
211,5713
212,2126
213,8019
214,2692
215,9189
216,3940
217,4551
218,3285
219,175
220,6153
221,9110
222,27
223,4219
224,83
225,5246
226,8130
227,9646
228,7320
229,7505
230,7271
231,2875
232,9856
233,5777
234,1165
235,1210
236,6705
237,1107
238,1045
239,1590
240,4219
241,8153
242,2688
243,8617
244,3018
245,2481
246,1045
247,4234
248,1614
249,7743
250,4175
251,4298
252,9377
253,7883
254,2341
255,6469
256,4219
257,9189
258,2126
259,7907
260,3227
261,1539
262,1061
263,6599
264,9170
265,7710
266,390
267,3783
268,7209
269,9853
270,1045
271,6183
272,3783
273,3783
274,7876
275,8460
276,1045
277,8705
278,6073
279,8905
280,8552
281,7459
282,1045
283,608
284,4974
285,4383
286,5175
287,1045
288,4099
289,1045
290,933
291,1184
292,4335
293,8285
294,5822
295,1796
296,1045
297,1045
298,523
299,5403
300,1045
301,1045
302,3881
303,1045
304,768
305,3649
306,1045
307,1340
308,5211
309,1706
310,1045
311,6006
312,528
313,4721
314,1833
315,1291
316,1230
317,1045
318,5588
319,8722
320,8052
321,5244
322,985
323,5461
324,4485
325,436
326,2668
327,4780
328,2954
329,9241
330,9744
331,1045
332,6632
333,7816
334,7894
335,169
336,8931
337,1045
338,1045
339,5911
340,1980
341,2986
342,9645
343,7959
344,1045
345,1455
346,7710
347,1009
348,4679
349,7775
350,5718
351,2419
352,5965
353,476
354,8233
355,1826
356,3064
357,1045
358,1734
359,811
360,1045
361,5403
362,7557
363,9388
364,1045
365,6553
366,2827
367,6176
368,9312
369,7624
370,1045
371,5588
372,1045
373,5258
374,9552
375,8176
376,7977
377,3271
378,3191
379,6573
380,2093
381,1045
382,4578
383,4653
384,1045
385,9189
386,4831
387,1414
388,7281
389,2678
390,7212
391,2227
392,273
393,3729
394,1090
395,1045
396,509
397,2845
398,8077
399,5484
400,1045
401,5205
402,2873
403,2585
404,8133
405,1045
406,1676
407,2959
408,3783
409,1652
410,7913
411,6221
412,1516
413,7559
414,8823
415,1045
416,358
417,1045
418,9014
419,2593
420,1961
421,9042
422,7327
423,2726
424,7254
425,5737
426,7346
427,4716
428,1090
429,2308
430,1045
431,792
432,13
433,8910
434,8271
435,1045
436,1045
437,3597
438,2982
439,9902
440,303
441,3603
442,182
443,9189
444,4597
445,4065
446,8711
447,6372
448,5614
449,1045
450,5679
451,3783
452,700
453,4838
454,407
455,1990
456,9468
457,7784
458,3695
459,5182
460,9189
461,2505
462,3950
463,2244
464,9744
465,2728
466,9092
467,8638
468,1045
469,514
470,2961
471,9178
472,1064
473,8865
474,6115
475,7995
476,1045
477,8120
478,7624
479,2670
480,3738
481,2188
482,4960
483,1144
484,5718
485,5403
486,9421
487,2760
488,1061
489,9350
490,7394
491,7097
492,5882
493,3783
494,1045
495,4267
496,6967
497,1450
498,1045
499,9189
500,1717
501,4477
502,5146
503,5291
504,1045
505,3444
506,2474
507,5747
508,3783
509,7683
510,7796
511,1045
512,2695
513,4038
514,1386
515,4054
516,4691
517,8142
518,8834
519,9645
520,5081
521,6538
522,4219
523,2102
524,7583
525,10
526,3783
527,7142
528,8699
529,1045
530,7793
531,1045
532,2929
533,5651
534,1045
535,5507
536,5057
537,5920
538,4858
539,5718
540,4858
541,3250
542,1045
543,1045
544,3779
545,608
546,1045
547,3861
548,6883
549,1350
550,1045
551,4160
552,8104
553,1045
554,823
555,1603
556,6150
557,1045
558,1045
559,5855
560,5403
561,1045
562,2244
563,4456
564,1045
565,1045
566,4649
567,7936
568,5803
569,6110
570,1221
571,7510
572,9425
573,8249
574,5662
575,6492
576,8642
577,9189
578,4928
579,9482
580,1603
581,9854
582,5919
583,1045
584,8168
585,435
586,4267
587,7185
588,6455
589,4158
590,1832
591,1045
592,8144
593,2466
594,1045
595,1143
596,1045
597,5130
598,1045
599,8124
600,373
601,1045
602,4935
603,1529
604,1731
605,8531
606,4952
607,8245
608,6951
609,1980
610,3874
611,6534
612,1090
613,2024
614,1045
615,3783
616,4036
617,4944
618,301
619,7362
620,8534
621,1045
622,2959
623,4935
624,3783
625,2238
626,5523
627,5519
628,8065
629,6638
630,1045
631,1045
632,6306
633,1529
634,1045
635,753
636,492
637,6632
638,1045
639,1045
640,3783
641,462
642,8826
643,8152
644,1045
645,9838
646,1970
647,9909
648,380
649,1045
650,7279
651,3783
652,1045
653,3783
654,8089
655,9077
656,2261
657,1045
658,8750
659,5614
660,3227
661,7776
662,1045
663,1045
664,1045
665,5184
666,1045
667,4219
668,2102
669,1045
670,8768
671,1045
672,9189
673,6197
674,1045
675,9343
676,5986
677,3506
678,9745
679,8223
680,6633
681,1163
682,1045
683,5647
684,7112
685,1698
686,518
687,5645
688,9936
689,7107
690,2405
691,7663
692,851
693,510
694,7223
695,5461
696,8689
697,3743
698,4871
699,190
700,3783
701,1726
702,5519
703,3783
704,9606
705,1045
706,1045
707,8118
708,17
709,1045
710,3783
711,7633
712,9189
713,287
714,2862
715,2244
716,2150
717,3955
718,9189
719,578
720,8425
721,1045
722,7482
723,5277
724,6428
725,3673
726,7816
727,5258
728,960
729,1579
730,985
731,6183
732,4219
733,1045
734,8009
735,9021
736,2110
737,4018
738,7221
739,5913
740,2922
741,5396
742,8055
743,1937
744,2024
745,5633
746,1045
747,1045
748,4841
749,1045
750,6010
751,8516
