Id,Predicted
1,3477
2,3409
3,6492
4,8894
5,8297
6,1624
7,1130
8,9020
9,476
10,9390
11,640
12,1624
13,3984
14,6035
15,5565
16,1833
17,4450
18,1698
19,4186
20,8522
21,6743
22,25
23,7647
24,8704
25,736
26,346
27,606
28,8739
29,5807
30,6477
31,3861
32,8010
33,9704
34,7176
35,7487
36,151
37,1726
38,1561
39,3023
40,3250
41,73
42,3833
43,8683
44,2989
45,4871
46,3505
47,9421
48,1291
49,4969
50,8329
51,7745
52,1420
53,3085
54,6700
55,9328
56,8167
57,6455
58,8914
59,7467
60,2273
61,4618
62,3082
63,9051
64,1491
65,1026
66,3766
67,4986
68,3324
69,1509
70,2136
71,576
72,4010
73,6898
74,6607
75,7680
76,4161
77,7977
78,6451
79,1876
80,2919
81,4925
82,5948
83,8479
84,1240
85,7264
86,7180
87,8930
88,4908
89,4699
90,7671
91,9956
92,7396
93,5057
94,3085
95,6817
96,7070
97,9353
98,2195
99,4816
100,6958
101,2968
102,358
103,4432
104,9100
105,8594
106,859
107,450
108,5396
109,7505
110,3231
111,1498
112,5133
113,5588
114,3730
115,5201
116,3512
117,2748
118,8429
119,3172
120,5996
121,8312
122,4414
123,8704
124,5684
125,6082
126,5140
127,8931
128,3912
129,2981
130,1261
131,4471
132,3132
133,3068
134,6964
135,2131
136,1600
137,9176
138,1207
139,8096
140,8654
141,4027
142,5571
143,3804
144,5635
145,6285
146,1810
147,1735
148,1004
149,6511
150,5098
151,7504
152,536
153,825
154,9902
155,9710
156,9814
157,3073
158,3066
159,3389
160,4641
161,5524
162,8132
163,5926
164,7745
165,2170
166,2378
167,1637
168,4124
169,9186
170,1261
171,9588
172,9699
173,1524
174,9784
175,9786
176,2136
177,623
178,6712
179,7736
180,3472
181,6245
182,6474
183,8946
184,6618
185,8897
186,8029
187,3172
188,7936
189,8483
190,2040
191,2668
192,4121
193,9271
194,8259
195,1906
196,5596
197,2484
198,7448
199,24
200,687
201,4947
202,8839
203,7200
204,816
205,3768
206,13
207,1261
208,4073
209,5264
210,1613
211,5713
212,4709
213,8019
214,5807
215,7909
216,2042
217,2597
218,1383
219,5726
